key,value,date
Community and Social Service Occupations,49,9/1/15
Community and Social Service Occupations,0,10/1/15
Community and Social Service Occupations,0,11/1/15
Community and Social Service Occupations,0,12/1/15
Community and Social Service Occupations,0,1/1/16
Community and Social Service Occupations,0,2/1/16
Community and Social Service Occupations,0,3/1/16
Community and Social Service Occupations,21,4/1/16
Community and Social Service Occupations,32,5/1/16
Community and Social Service Occupations,36,6/1/16
Community and Social Service Occupations,28,7/1/16
Community and Social Service Occupations,31,8/1/16
Community and Social Service Occupations,22,9/1/16
Community and Social Service Occupations,29,10/1/16
Community and Social Service Occupations,26,11/1/16
Community and Social Service Occupations,25,12/1/16
Business and Financial Operations Occupations,0,1/1/11
Business and Financial Operations Occupations,0,2/1/11
Business and Financial Operations Occupations,0,3/1/11
Business and Financial Operations Occupations,0,4/1/11
Business and Financial Operations Occupations,0,5/1/11
Business and Financial Operations Occupations,0,6/1/11
Business and Financial Operations Occupations,0,7/1/11
Business and Financial Operations Occupations,0,8/1/11
Business and Financial Operations Occupations,0,9/1/11
Business and Financial Operations Occupations,0,10/1/11
Business and Financial Operations Occupations,173,11/1/11
Business and Financial Operations Occupations,158,12/1/11
Business and Financial Operations Occupations,118,1/1/12
Business and Financial Operations Occupations,118,2/1/12
Business and Financial Operations Occupations,176,3/1/12
Business and Financial Operations Occupations,0,4/1/12
Business and Financial Operations Occupations,0,5/1/12
Business and Financial Operations Occupations,0,6/1/12
Business and Financial Operations Occupations,0,7/1/12
Business and Financial Operations Occupations,0,8/1/12
Business and Financial Operations Occupations,0,9/1/12
Business and Financial Operations Occupations,0,10/1/12
Business and Financial Operations Occupations,0,11/1/12
Business and Financial Operations Occupations,0,12/1/12
Business and Financial Operations Occupations,0,1/1/13
Business and Financial Operations Occupations,0,2/1/13
Business and Financial Operations Occupations,0,3/1/13
Business and Financial Operations Occupations,133,4/1/13
Business and Financial Operations Occupations,163,5/1/13
Business and Financial Operations Occupations,90,6/1/13
Business and Financial Operations Occupations,89,7/1/13
Business and Financial Operations Occupations,112,8/1/13
Business and Financial Operations Occupations,180,9/1/13
Business and Financial Operations Occupations,0,10/1/13
Business and Financial Operations Occupations,0,11/1/13
Business and Financial Operations Occupations,0,12/1/13
Business and Financial Operations Occupations,0,1/1/14
Business and Financial Operations Occupations,0,2/1/14
Business and Financial Operations Occupations,0,3/1/14
Business and Financial Operations Occupations,403,4/1/14
Business and Financial Operations Occupations,491,5/1/14
Business and Financial Operations Occupations,467,6/1/14
Business and Financial Operations Occupations,297,7/1/14
Business and Financial Operations Occupations,296,8/1/14
Business and Financial Operations Occupations,294,9/1/14
Business and Financial Operations Occupations,0,10/1/14
Business and Financial Operations Occupations,0,11/1/14
Business and Financial Operations Occupations,0,12/1/14
Business and Financial Operations Occupations,0,1/1/15
Business and Financial Operations Occupations,0,2/1/15
Business and Financial Operations Occupations,0,3/1/15
Business and Financial Operations Occupations,354,4/1/15
Business and Financial Operations Occupations,318,5/1/15
Business and Financial Operations Occupations,343,6/1/15
Business and Financial Operations Occupations,475,7/1/15
Business and Financial Operations Occupations,464,8/1/15
Business and Financial Operations Occupations,603,9/1/15
Business and Financial Operations Occupations,0,10/1/15
Business and Financial Operations Occupations,0,11/1/15
Business and Financial Operations Occupations,0,12/1/15
Business and Financial Operations Occupations,0,1/1/16
Business and Financial Operations Occupations,0,2/1/16
Business and Financial Operations Occupations,0,3/1/16
Business and Financial Operations Occupations,480,4/1/16
Business and Financial Operations Occupations,687,5/1/16
Business and Financial Operations Occupations,686,6/1/16
Business and Financial Operations Occupations,584,7/1/16
Business and Financial Operations Occupations,584,8/1/16
Business and Financial Operations Occupations,394,9/1/16
Business and Financial Operations Occupations,498,10/1/16
Business and Financial Operations Occupations,449,11/1/16
Business and Financial Operations Occupations,428,12/1/16
Food Preparation and Serving Related Occupations,0,1/1/11
Food Preparation and Serving Related Occupations,0,2/1/11
Food Preparation and Serving Related Occupations,0,3/1/11
Food Preparation and Serving Related Occupations,0,4/1/11
Food Preparation and Serving Related Occupations,0,5/1/11
Food Preparation and Serving Related Occupations,0,6/1/11
Food Preparation and Serving Related Occupations,0,7/1/11
Food Preparation and Serving Related Occupations,0,8/1/11
Food Preparation and Serving Related Occupations,0,9/1/11
Food Preparation and Serving Related Occupations,0,10/1/11
Food Preparation and Serving Related Occupations,6,11/1/11
Food Preparation and Serving Related Occupations,27,12/1/11
Food Preparation and Serving Related Occupations,45,1/1/12
Food Preparation and Serving Related Occupations,51,2/1/12
Food Preparation and Serving Related Occupations,12,3/1/12
Food Preparation and Serving Related Occupations,0,4/1/12
Food Preparation and Serving Related Occupations,0,5/1/12
Food Preparation and Serving Related Occupations,0,6/1/12
Food Preparation and Serving Related Occupations,0,7/1/12
Food Preparation and Serving Related Occupations,0,8/1/12
Food Preparation and Serving Related Occupations,0,9/1/12
Food Preparation and Serving Related Occupations,0,10/1/12
Food Preparation and Serving Related Occupations,0,11/1/12
Food Preparation and Serving Related Occupations,0,12/1/12
Food Preparation and Serving Related Occupations,0,1/1/13
Food Preparation and Serving Related Occupations,0,2/1/13
Food Preparation and Serving Related Occupations,0,3/1/13
Food Preparation and Serving Related Occupations,13,4/1/13
Food Preparation and Serving Related Occupations,26,5/1/13
Food Preparation and Serving Related Occupations,14,6/1/13
Food Preparation and Serving Related Occupations,6,7/1/13
Food Preparation and Serving Related Occupations,15,8/1/13
Food Preparation and Serving Related Occupations,25,9/1/13
Food Preparation and Serving Related Occupations,0,10/1/13
Food Preparation and Serving Related Occupations,0,11/1/13
Food Preparation and Serving Related Occupations,0,12/1/13
Food Preparation and Serving Related Occupations,0,1/1/14
Food Preparation and Serving Related Occupations,0,2/1/14
Food Preparation and Serving Related Occupations,0,3/1/14
Food Preparation and Serving Related Occupations,24,4/1/14
Food Preparation and Serving Related Occupations,14,5/1/14
Food Preparation and Serving Related Occupations,16,6/1/14
Food Preparation and Serving Related Occupations,22,7/1/14
Food Preparation and Serving Related Occupations,28,8/1/14
Food Preparation and Serving Related Occupations,18,9/1/14
Food Preparation and Serving Related Occupations,0,10/1/14
Food Preparation and Serving Related Occupations,0,11/1/14
Food Preparation and Serving Related Occupations,0,12/1/14
Food Preparation and Serving Related Occupations,0,1/1/15
Food Preparation and Serving Related Occupations,0,2/1/15
Food Preparation and Serving Related Occupations,0,3/1/15
Food Preparation and Serving Related Occupations,102,4/1/15
Food Preparation and Serving Related Occupations,73,5/1/15
Food Preparation and Serving Related Occupations,94,6/1/15
Food Preparation and Serving Related Occupations,186,7/1/15
Food Preparation and Serving Related Occupations,180,8/1/15
Food Preparation and Serving Related Occupations,237,9/1/15
Food Preparation and Serving Related Occupations,0,10/1/15
Food Preparation and Serving Related Occupations,0,11/1/15
Food Preparation and Serving Related Occupations,0,12/1/15
Food Preparation and Serving Related Occupations,0,1/1/16
Food Preparation and Serving Related Occupations,0,2/1/16
Food Preparation and Serving Related Occupations,0,3/1/16
Food Preparation and Serving Related Occupations,132,4/1/16
Food Preparation and Serving Related Occupations,144,5/1/16
Food Preparation and Serving Related Occupations,279,6/1/16
Food Preparation and Serving Related Occupations,205,7/1/16
Food Preparation and Serving Related Occupations,250,8/1/16
Food Preparation and Serving Related Occupations,160,9/1/16
Food Preparation and Serving Related Occupations,260,10/1/16
Food Preparation and Serving Related Occupations,151,11/1/16
Food Preparation and Serving Related Occupations,188,12/1/16
Protective Service Occupations,0,1/1/11
Protective Service Occupations,0,2/1/11
Protective Service Occupations,0,3/1/11
Protective Service Occupations,0,4/1/11
Protective Service Occupations,0,5/1/11
Protective Service Occupations,0,6/1/11
Protective Service Occupations,0,7/1/11
Protective Service Occupations,0,8/1/11
Protective Service Occupations,0,9/1/11
Protective Service Occupations,0,10/1/11
Protective Service Occupations,0,11/1/11
Protective Service Occupations,1,12/1/11
Protective Service Occupations,0,1/1/12
Protective Service Occupations,0,2/1/12
Protective Service Occupations,0,3/1/12
Protective Service Occupations,0,4/1/12
Protective Service Occupations,0,5/1/12
Protective Service Occupations,0,6/1/12
Protective Service Occupations,0,7/1/12
Protective Service Occupations,0,8/1/12
Protective Service Occupations,0,9/1/12
